ballotID,ballot_type,countingGroup,district,districtType,precinct,precinctPortion,votingLocation,rank1,rank2,rank3,rank4,rank5,Num cands,Num seats
36082_00001_000035,Ballot 38 - Type 38,Election Day,Judicial 4,Judicial,36-082 Grayling,36-082 Grayling,Region III,"Schwanke, Rebecca A.","Kowalski, Brandon P. ""Putuuqti""","Goode, Pamela","Fields, James",skipped,5,1
36082_00001_000010,Ballot 38 - Type 38,Election Day,Judicial 4,Judicial,36-082 Grayling,36-082 Grayling,Region III,"Kowalski, Brandon P. ""Putuuqti""","Goode, Pamela","Fields, James","Schwanke, Rebecca A.",skipped,5,1
36082_00001_000052,Ballot 38 - Type 38,Election Day,Judicial 4,Judicial,36-082 Grayling,36-082 Grayling,Region III,"Goode, Pamela",skipped,skipped,skipped,skipped,5,1
36082_00001_000036,Ballot 38 - Type 38,Election Day,Judicial 4,Judicial,36-082 Grayling,36-082 Grayling,Region III,"Schwanke, Rebecca A.","Goode, Pamela",skipped,skipped,skipped,5,1
36082_00001_000017,Ballot 38 - Type 38,Election Day,Judicial 4,Judicial,36-082 Grayling,36-082 Grayling,Region III,"Schwanke, Rebecca A.",skipped,skipped,skipped,skipped,5,1
936138_00001_8808531,Ballot 38 - Type 38,Election Day,Judicial 4,Judicial,36-138 Nulato,36-138 Nulato,Region III,"Kowalski, Brandon P. ""Putuuqti""",skipped,skipped,skipped,skipped,5,1
936138_00001_7601296,Ballot 38 - Type 38,Election Day,Judicial 4,Judicial,36-138 Nulato,36-138 Nulato,Region III,"Goode, Pamela",skipped,skipped,skipped,skipped,5,1
936138_00001_9218558,Ballot 38 - Type 38,Election Day,Judicial 4,Judicial,36-138 Nulato,36-138 Nulato,Region III,"Fields, James",skipped,skipped,skipped,skipped,5,1
936138_00001_1196542,Ballot 38 - Type 38,Election Day,Judicial 4,Judicial,36-138 Nulato,36-138 Nulato,Region III,"Kowalski, Brandon P. ""Putuuqti""",skipped,skipped,skipped,skipped,5,1
936138_00001_6774583,Ballot 38 - Type 38,Election Day,Judicial 4,Judicial,36-138 Nulato,36-138 Nulato,Region III,"Fields, James",skipped,skipped,skipped,skipped,5,1
936138_00001_2575933,Ballot 38 - Type 38,Election Day,Judicial 4,Judicial,36-138 Nulato,36-138 Nulato,Region III,"Kowalski, Brandon P. ""Putuuqti""",skipped,skipped,skipped,skipped,5,1
936138_00001_1960532,Ballot 38 - Type 38,Election Day,Judicial 4,Judicial,36-138 Nulato,36-138 Nulato,Region III,"Fields, James",skipped,skipped,skipped,skipped,5,1
936138_00001_6136198,Ballot 38 - Type 38,Election Day,Judicial 4,Judicial,36-138 Nulato,36-138 Nulato,Region III,"Goode, Pamela",skipped,skipped,skipped,skipped,5,1
936138_00001_5702488,Ballot 38 - Type 38,Election Day,Judicial 4,Judicial,36-138 Nulato,36-138 Nulato,Region III,"Kowalski, Brandon P. ""Putuuqti""",skipped,skipped,skipped,skipped,5,1
936138_00001_7314760,Ballot 38 - Type 38,Election Day,Judicial 4,Judicial,36-138 Nulato,36-138 Nulato,Region III,"Goode, Pamela",skipped,skipped,skipped,skipped,5,1
936138_00001_4593464,Ballot 38 - Type 38,Election Day,Judicial 4,Judicial,36-138 Nulato,36-138 Nulato,Region III,"Goode, Pamela",skipped,skipped,skipped,skipped,5,1
936138_00001_4875896,Ballot 38 - Type 38,Election Day,Judicial 4,Judicial,36-138 Nulato,36-138 Nulato,Region III,"Goode, Pamela",skipped,skipped,skipped,skipped,5,1
936138_00001_5871282,Ballot 38 - Type 38,Election Day,Judicial 4,Judicial,36-138 Nulato,36-138 Nulato,Region III,"Kowalski, Brandon P. ""Putuuqti""",skipped,skipped,skipped,skipped,5,1
936138_00001_7521999,Ballot 38 - Type 38,Election Day,Judicial 4,Judicial,36-138 Nulato,36-138 Nulato,Region III,"Schwanke, Rebecca A.",skipped,skipped,skipped,skipped,5,1
936138_00001_3037590,Ballot 38 - Type 38,Election Day,Judicial 4,Judicial,36-138 Nulato,36-138 Nulato,Region III,"Kowalski, Brandon P. ""Putuuqti""",skipped,skipped,skipped,skipped,5,1
936138_00001_2288826,Ballot 38 - Type 38,Election Day,Judicial 4,Judicial,36-138 Nulato,36-138 Nulato,Region III,"Kowalski, Brandon P. ""Putuuqti""",skipped,skipped,skipped,skipped,5,1
936138_00001_7448246,Ballot 38 - Type 38,Election Day,Judicial 4,Judicial,36-138 Nulato,36-138 Nulato,Region III,"Kowalski, Brandon P. ""Putuuqti""",skipped,skipped,skipped,skipped,5,1
936138_00001_2578667,Ballot 38 - Type 38,Election Day,Judicial 4,Judicial,36-138 Nulato,36-138 Nulato,Region III,"Kowalski, Brandon P. ""Putuuqti""",skipped,skipped,skipped,skipped,5,1
936138_00001_2613181,Ballot 38 - Type 38,Election Day,Judicial 4,Judicial,36-138 Nulato,36-138 Nulato,Region III,"Kowalski, Brandon P. ""Putuuqti""",skipped,skipped,skipped,skipped,5,1
936138_00001_2236148,Ballot 38 - Type 38,Election Day,Judicial 4,Judicial,36-138 Nulato,36-138 Nulato,Region III,"Kowalski, Brandon P. ""Putuuqti""",skipped,skipped,skipped,skipped,5,1
36062_00001_000068,Ballot 38 - Type 38,Election Day,Judicial 4,Judicial,36-062 Eagle,36-062 Eagle,Region III,"Goode, Pamela",skipped,skipped,skipped,skipped,5,1
36062_00001_000067,Ballot 38 - Type 38,Election Day,Judicial 4,Judicial,36-062 Eagle,36-062 Eagle,Region III,"Fields, James",skipped,skipped,skipped,skipped,5,1
36062_00001_000040,Ballot 38 - Type 38,Election Day,Judicial 4,Judicial,36-062 Eagle,36-062 Eagle,Region III,"Schwanke, Rebecca A.",skipped,skipped,skipped,skipped,5,1
36062_00001_000019,Ballot 38 - Type 38,Election Day,Judicial 4,Judicial,36-062 Eagle,36-062 Eagle,Region III,"Kowalski, Brandon P. ""Putuuqti""",skipped,skipped,skipped,skipped,5,1
36062_00001_000015,Ballot 38 - Type 38,Election Day,Judicial 4,Judicial,36-062 Eagle,36-062 Eagle,Region III,"Goode, Pamela",skipped,skipped,skipped,skipped,5,1
36062_00001_000057,Ballot 38 - Type 38,Election Day,Judicial 4,Judicial,36-062 Eagle,36-062 Eagle,Region III,"Kowalski, Brandon P. ""Putuuqti""","Schwanke, Rebecca A.",skipped,skipped,skipped,5,1
36062_00001_000041,Ballot 38 - Type 38,Election Day,Judicial 4,Judicial,36-062 Eagle,36-062 Eagle,Region III,"Schwanke, Rebecca A.",skipped,skipped,skipped,skipped,5,1
36062_00001_000020,Ballot 38 - Type 38,Election Day,Judicial 4,Judicial,36-062 Eagle,36-062 Eagle,Region III,"Goode, Pamela","Schwanke, Rebecca A.",skipped,skipped,skipped,5,1
36062_00001_000017,Ballot 38 - Type 38,Election Day,Judicial 4,Judicial,36-062 Eagle,36-062 Eagle,Region III,"Goode, Pamela",skipped,skipped,skipped,skipped,5,1
36062_00001_000064,Ballot 38 - Type 38,Election Day,Judicial 4,Judicial,36-062 Eagle,36-062 Eagle,Region III,"Kowalski, Brandon P. ""Putuuqti""","Goode, Pamela","Fields, James","Schwanke, Rebecca A.",skipped,5,1
36062_00001_000063,Ballot 38 - Type 38,Election Day,Judicial 4,Judicial,36-062 Eagle,36-062 Eagle,Region III,"Goode, Pamela",skipped,skipped,skipped,skipped,5,1
36062_00001_000038,Ballot 38 - Type 38,Election Day,Judicial 4,Judicial,36-062 Eagle,36-062 Eagle,Region III,"Goode, Pamela",skipped,skipped,skipped,skipped,5,1
36062_00001_000021,Ballot 38 - Type 38,Election Day,Judicial 4,Judicial,36-062 Eagle,36-062 Eagle,Region III,"Schwanke, Rebecca A.",skipped,skipped,skipped,skipped,5,1
36062_00001_000005,Ballot 38 - Type 38,Election Day,Judicial 4,Judicial,36-062 Eagle,36-062 Eagle,Region III,"Schwanke, Rebecca A.","Goode, Pamela",skipped,skipped,skipped,5,1
36062_00001_000048,Ballot 38 - Type 38,Election Day,Judicial 4,Judicial,36-062 Eagle,36-062 Eagle,Region III,"Schwanke, Rebecca A.",skipped,skipped,skipped,skipped,5,1
36062_00001_000047,Ballot 38 - Type 38,Election Day,Judicial 4,Judicial,36-062 Eagle,36-062 Eagle,Region III,"Schwanke, Rebecca A.",skipped,skipped,skipped,skipped,5,1
36062_00001_000029,Ballot 38 - Type 38,Election Day,Judicial 4,Judicial,36-062 Eagle,36-062 Eagle,Region III,"Goode, Pamela","Schwanke, Rebecca A.","Kowalski, Brandon P. ""Putuuqti""",skipped,skipped,5,1
36062_00001_000022,Ballot 38 - Type 38,Election Day,Judicial 4,Judicial,36-062 Eagle,36-062 Eagle,Region III,"Schwanke, Rebecca A.","Fields, James",skipped,skipped,skipped,5,1
36062_00001_000009,Ballot 38 - Type 38,Election Day,Judicial 4,Judicial,36-062 Eagle,36-062 Eagle,Region III,"Kowalski, Brandon P. ""Putuuqti""",skipped,skipped,skipped,skipped,5,1
36062_00001_000062,Ballot 38 - Type 38,Election Day,Judicial 4,Judicial,36-062 Eagle,36-062 Eagle,Region III,"Schwanke, Rebecca A.",skipped,skipped,skipped,skipped,5,1
36062_00001_000061,Ballot 38 - Type 38,Election Day,Judicial 4,Judicial,36-062 Eagle,36-062 Eagle,Region III,"Goode, Pamela",skipped,skipped,skipped,skipped,5,1
36062_00001_000039,Ballot 38 - Type 38,Election Day,Judicial 4,Judicial,36-062 Eagle,36-062 Eagle,Region III,"Goode, Pamela",skipped,skipped,skipped,skipped,5,1
36062_00001_000023,Ballot 38 - Type 38,Election Day,Judicial 4,Judicial,36-062 Eagle,36-062 Eagle,Region III,"Schwanke, Rebecca A.",skipped,skipped,skipped,skipped,5,1
36062_00001_000066,Ballot 38 - Type 38,Election Day,Judicial 4,Judicial,36-062 Eagle,36-062 Eagle,Region III,"Schwanke, Rebecca A.",skipped,skipped,skipped,skipped,5,1
36062_00001_000065,Ballot 38 - Type 38,Election Day,Judicial 4,Judicial,36-062 Eagle,36-062 Eagle,Region III,"Schwanke, Rebecca A.",skipped,skipped,skipped,skipped,5,1
36062_00001_000043,Ballot 38 - Type 38,Election Day,Judicial 4,Judicial,36-062 Eagle,36-062 Eagle,Region III,"Kowalski, Brandon P. ""Putuuqti""",skipped,skipped,skipped,skipped,5,1
36062_00001_000024,Ballot 38 - Type 38,Election Day,Judicial 4,Judicial,36-062 Eagle,36-062 Eagle,Region III,"Kowalski, Brandon P. ""Putuuqti""",skipped,skipped,skipped,skipped,5,1
36062_00001_000013,Ballot 38 - Type 38,Election Day,Judicial 4,Judicial,36-062 Eagle,36-062 Eagle,Region III,"Goode, Pamela","Schwanke, Rebecca A.",skipped,skipped,skipped,5,1
36062_00001_000045,Ballot 38 - Type 38,Election Day,Judicial 4,Judicial,36-062 Eagle,36-062 Eagle,Region III,"Schwanke, Rebecca A.",skipped,skipped,skipped,skipped,5,1
36062_00001_000025,Ballot 38 - Type 38,Election Day,Judicial 4,Judicial,36-062 Eagle,36-062 Eagle,Region III,"Kowalski, Brandon P. ""Putuuqti""",skipped,skipped,skipped,skipped,5,1
36062_00001_000060,Ballot 38 - Type 38,Election Day,Judicial 4,Judicial,36-062 Eagle,36-062 Eagle,Region III,"Kowalski, Brandon P. ""Putuuqti""",skipped,skipped,skipped,skipped,5,1
36062_00001_000059,Ballot 38 - Type 38,Election Day,Judicial 4,Judicial,36-062 Eagle,36-062 Eagle,Region III,"Schwanke, Rebecca A.",skipped,skipped,skipped,skipped,5,1
36062_00001_000042,Ballot 38 - Type 38,Election Day,Judicial 4,Judicial,36-062 Eagle,36-062 Eagle,Region III,"Goode, Pamela",skipped,skipped,skipped,skipped,5,1
36062_00001_000026,Ballot 38 - Type 38,Election Day,Judicial 4,Judicial,36-062 Eagle,36-062 Eagle,Region III,"Goode, Pamela",skipped,skipped,skipped,skipped,5,1
36062_00001_000049,Ballot 38 - Type 38,Election Day,Judicial 4,Judicial,36-062 Eagle,36-062 Eagle,Region III,"Goode, Pamela",skipped,skipped,skipped,skipped,5,1
36062_00001_000027,Ballot 38 - Type 38,Election Day,Judicial 4,Judicial,36-062 Eagle,36-062 Eagle,Region III,"Goode, Pamela",skipped,skipped,skipped,skipped,5,1
36062_00001_000018,Ballot 38 - Type 38,Election Day,Judicial 4,Judicial,36-062 Eagle,36-062 Eagle,Region III,"Schwanke, Rebecca A.","Goode, Pamela",skipped,skipped,skipped,5,1
36062_00001_000046,Ballot 38 - Type 38,Election Day,Judicial 4,Judicial,36-062 Eagle,36-062 Eagle,Region III,"Schwanke, Rebecca A.",skipped,skipped,skipped,skipped,5,1
36062_00001_000028,Ballot 38 - Type 38,Election Day,Judicial 4,Judicial,36-062 Eagle,36-062 Eagle,Region III,"Schwanke, Rebecca A.",skipped,skipped,skipped,skipped,5,1
36062_00001_000014,Ballot 38 - Type 38,Election Day,Judicial 4,Judicial,36-062 Eagle,36-062 Eagle,Region III,"Schwanke, Rebecca A.","Goode, Pamela",skipped,skipped,skipped,5,1
36062_00001_000050,Ballot 38 - Type 38,Election Day,Judicial 4,Judicial,36-062 Eagle,36-062 Eagle,Region III,"Schwanke, Rebecca A.",skipped,skipped,skipped,skipped,5,1
36062_00001_000030,Ballot 38 - Type 38,Election Day,Judicial 4,Judicial,36-062 Eagle,36-062 Eagle,Region III,"Goode, Pamela",skipped,skipped,skipped,skipped,5,1
36062_00001_000002,Ballot 38 - Type 38,Election Day,Judicial 4,Judicial,36-062 Eagle,36-062 Eagle,Region III,"Kowalski, Brandon P. ""Putuuqti""",skipped,skipped,skipped,skipped,5,1
36062_00001_000052,Ballot 38 - Type 38,Election Day,Judicial 4,Judicial,36-062 Eagle,36-062 Eagle,Region III,"Goode, Pamela",skipped,skipped,skipped,skipped,5,1
36062_00001_000031,Ballot 38 - Type 38,Election Day,Judicial 4,Judicial,36-062 Eagle,36-062 Eagle,Region III,"Schwanke, Rebecca A.","Fields, James",skipped,skipped,skipped,5,1
36062_00001_000011,Ballot 38 - Type 38,Election Day,Judicial 4,Judicial,36-062 Eagle,36-062 Eagle,Region III,"Goode, Pamela",skipped,skipped,skipped,skipped,5,1
36062_00001_000032,Ballot 38 - Type 38,Election Day,Judicial 4,Judicial,36-062 Eagle,36-062 Eagle,Region III,"Schwanke, Rebecca A.","Fields, James","Goode, Pamela",skipped,skipped,5,1
36062_00001_000004,Ballot 38 - Type 38,Election Day,Judicial 4,Judicial,36-062 Eagle,36-062 Eagle,Region III,"Kowalski, Brandon P. ""Putuuqti""",skipped,skipped,skipped,skipped,5,1
36062_00001_000033,Ballot 38 - Type 38,Election Day,Judicial 4,Judicial,36-062 Eagle,36-062 Eagle,Region III,"Goode, Pamela",skipped,skipped,skipped,skipped,5,1
36062_00001_000006,Ballot 38 - Type 38,Election Day,Judicial 4,Judicial,36-062 Eagle,36-062 Eagle,Region III,"Kowalski, Brandon P. ""Putuuqti""",skipped,skipped,skipped,skipped,5,1
36062_00001_000054,Ballot 38 - Type 38,Election Day,Judicial 4,Judicial,36-062 Eagle,36-062 Eagle,Region III,"Kowalski, Brandon P. ""Putuuqti""",skipped,skipped,skipped,skipped,5,1
36062_00001_000034,Ballot 38 - Type 38,Election Day,Judicial 4,Judicial,36-062 Eagle,36-062 Eagle,Region III,"Kowalski, Brandon P. ""Putuuqti""","Fields, James","Goode, Pamela","Schwanke, Rebecca A.",skipped,5,1
36062_00001_000003,Ballot 38 - Type 38,Election Day,Judicial 4,Judicial,36-062 Eagle,36-062 Eagle,Region III,"Kowalski, Brandon P. ""Putuuqti""",skipped,skipped,skipped,skipped,5,1
36062_00001_000069,Ballot 38 - Type 38,Election Day,Judicial 4,Judicial,36-062 Eagle,36-062 Eagle,Region III,"Kowalski, Brandon P. ""Putuuqti""",skipped,skipped,skipped,skipped,5,1
36062_00001_000044,Ballot 38 - Type 38,Election Day,Judicial 4,Judicial,36-062 Eagle,36-062 Eagle,Region III,"Kowalski, Brandon P. ""Putuuqti""","Fields, James","Goode, Pamela","Schwanke, Rebecca A.",skipped,5,1
36062_00001_000035,Ballot 38 - Type 38,Election Day,Judicial 4,Judicial,36-062 Eagle,36-062 Eagle,Region III,"Fields, James","Kowalski, Brandon P. ""Putuuqti""",skipped,skipped,skipped,5,1
36062_00001_000056,Ballot 38 - Type 38,Election Day,Judicial 4,Judicial,36-062 Eagle,36-062 Eagle,Region III,"Kowalski, Brandon P. ""Putuuqti""",skipped,skipped,skipped,skipped,5,1
